"soc_name"
"<FONT><FONT>CARPINTEROS</FONT></FONT>"
"13-2011.01"
"15-1121"
"15-1132"
"15-1199.01"
"15-1199.01 SW QUALITY ASSURANCE ENGNRS & TESTERS"
"15-1199.08, BUSINESS INTELLIGENCE ANALYSTS"
"17-2051"
"17-2072"
"27-3031"
"29-1064.00-OBSTETRICIANS AND GYNECOLOGISTS"
"ACCOUNTANT"
"Accountants"
"ACCOUNTANTS"
"Accountants and Auditors"
"ACCOUNTANTS AND AUDITORS"
"Actors"
"ACTORS"
"Actuaries"
"ACTUARIES"
"ACUPUNCTURISTS"
"Adhesive Bonding Machine Operators and Tenders"
"Administrative Services Managers"
"ADMINISTRATIVE SERVICES MANAGERS"
"ADULT BASIC AND SECONDARY EDUCATION AND LITERACY"
"Adult Basic and Secondary Education and Literacy T"
"ADULT BASIC AND SECONDARY EDUCATION AND LITERACY T"
"ADULT BASIC SECOND EDUC AND LIT TEACH AND INSTRUC"
"Adult Literacy, Remedial Education, and GED Teache"
"ADVERTISING AND PROMORTIONS MANAGERS"
"ADVERTISING AND PROMOTIONS MANAGER"
"Advertising and Promotions Managers"
"ADVERTISING AND PROMOTIONS MANAGERS"
"Advertising Sales Agents"
"ADVERTISING SALES AGENTS"
"Aerospace Engineering and Operations Technicians"
"AEROSPACE ENGINEERING AND OPERATIONS TECHNICIANS"
"Aerospace Engineers"
"AEROSPACE ENGINEERS"
"AGENTS AND BUSINESS MANAGERS OF ARTISTS"
"AGENTS AND BUSINESS MANAGERS OF ARTISTS,"
"Agents and Business Managers of Artists, Performer"
"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMER"
"Agricultural and Food Science Technicians"
"AGRICULTURAL AND FOOD SCIENCE TECHNICIANS"
"Agricultural Crop Farm Managers"
"Agricultural Engineers"
"AGRICULTURAL ENGINEERS"
"Agricultural Inspectors"
"AGRICULTURAL INSPECTORS"
"Agricultural Sciences Teachers, Postsecondary"
"AGRICULTURAL SCIENCES TEACHERS, POSTSECONDARY"
"Agricultural Workers, All Other"
"AGRICULTURAL WORKERS, ALL OTHER"
"AIRCRAFT CARGO HANDLING SUPERVISSORS"
"Aircraft Mechanics and Service Technicians"
"AIRCRAFT MECHANICS AND SERVICE TECHNICIANS"
"Aircraft Structure, Surfaces, Rigging, and Systems"
"Airfield Operations Specialists"
"AIRFIELD OPERATIONS SPECIALISTS"
"Airline Pilots, Copilots, and Flight Engineers"
"AIRLINE PILOTS, COPILOTS, AND FLIGHT ENGINEERS"
"AMUSEMENT AND RECREATION ATTENDANTS"
"Anesthesiologists"
"ANESTHESIOLOGISTS"
"Animal Breeders"
"ANIMAL BREEDERS"
